SERNO,RadmonID,MACID,RadiationLevel,Location,Department,RadiationStatus,DateTime,RecordNo,RadmonType,Temperature,BatteryVoltage,BatteryCurrent,Health,DataString,RadiationCPM,Dummy,Mdate
15182,1,NULL,98,NG (OUT),RSSD,48,6/22/2018 0:00,42086,NULL,NULL,NULL,NULL,NULL," 42086,1,48,98,22/6/2018 0:0:49",NULL,NULL,7/2/2018 17:08
15183,1,NULL,88,NG (OUT),RSSD,48,6/22/2018 0:02,42087,NULL,NULL,NULL,NULL,NULL," 42087,1,48,88,22/6/2018 0:2:49",NULL,NULL,7/2/2018 17:08
15184,1,NULL,86,NG (OUT),RSSD,48,6/22/2018 0:04,42088,NULL,NULL,NULL,NULL,NULL," 42088,1,48,86,22/6/2018 0:4:49",NULL,NULL,7/2/2018 17:08
15185,1,NULL,65,NG (OUT),RSSD,48,6/22/2018 0:06,42089,NULL,NULL,NULL,NULL,NULL," 42089,1,48,65,22/6/2018 0:6:49",NULL,NULL,7/2/2018 17:08
15186,1,NULL,46,NG (OUT),RSSD,48,6/22/2018 0:08,42090,NULL,NULL,NULL,NULL,NULL," 42090,1,48,46,22/6/2018 0:8:49",NULL,NULL,7/2/2018 17:08
15187,1,NULL,87,NG (OUT),RSSD,48,6/22/2018 0:10,42091,NULL,NULL,NULL,NULL,NULL," 42091,1,48,87,22/6/2018 0:10:49",NULL,NULL,7/2/2018 17:08
15188,1,NULL,91,NG (OUT),RSSD,48,6/22/2018 0:12,42092,NULL,NULL,NULL,NULL,NULL," 42092,1,48,91,22/6/2018 0:12:49",NULL,NULL,7/2/2018 17:08
15189,1,NULL,93,NG (OUT),RSSD,48,6/22/2018 0:14,42093,NULL,NULL,NULL,NULL,NULL," 42093,1,48,93,22/6/2018 0:14:49",NULL,NULL,7/2/2018 17:08
15190,1,NULL,85,NG (OUT),RSSD,48,6/22/2018 0:16,42094,NULL,NULL,NULL,NULL,NULL," 42094,1,48,85,22/6/2018 0:16:49",NULL,NULL,7/2/2018 17:08
15191,1,NULL,80,NG (OUT),RSSD,48,6/22/2018 0:18,42095,NULL,NULL,NULL,NULL,NULL," 42095,1,48,80,22/6/2018 0:18:49",NULL,NULL,7/2/2018 17:08
15192,1,NULL,70,NG (OUT),RSSD,48,6/22/2018 0:20,42096,NULL,NULL,NULL,NULL,NULL," 42096,1,48,70,22/6/2018 0:20:49",NULL,NULL,7/2/2018 17:08
15193,1,NULL,50,NG (OUT),RSSD,48,6/22/2018 0:22,42097,NULL,NULL,NULL,NULL,NULL," 42097,1,48,50,22/6/2018 0:22:49",NULL,NULL,7/2/2018 17:08
15194,1,NULL,88,NG (OUT),RSSD,48,6/22/2018 0:24,42098,NULL,NULL,NULL,NULL,NULL," 42098,1,48,88,22/6/2018 0:24:49",NULL,NULL,7/2/2018 17:08
15195,1,NULL,104,NG (OUT),RSSD,48,6/22/2018 0:26,42099,NULL,NULL,NULL,NULL,NULL," 42099,1,48,104,22/6/2018 0:26:49",NULL,NULL,7/2/2018 17:08
15196,1,NULL,95,NG (OUT),RSSD,48,6/22/2018 0:28,42100,NULL,NULL,NULL,NULL,NULL," 42100,1,48,95,22/6/2018 0:28:49",NULL,NULL,7/2/2018 17:08
15197,1,NULL,85,NG (OUT),RSSD,48,6/22/2018 0:30,42101,NULL,NULL,NULL,NULL,NULL," 42101,1,48,85,22/6/2018 0:30:49",NULL,NULL,7/2/2018 17:08
15198,1,NULL,118,NG (OUT),RSSD,48,6/22/2018 0:32,42102,NULL,NULL,NULL,NULL,NULL," 42102,1,48,118,22/6/2018 0:32:49",NULL,NULL,7/2/2018 17:08
15199,1,NULL,62,NG (OUT),RSSD,48,6/22/2018 0:34,42103,NULL,NULL,NULL,NULL,NULL," 42103,1,48,62,22/6/2018 0:34:49",NULL,NULL,7/2/2018 17:08
15200,1,NULL,68,NG (OUT),RSSD,48,6/22/2018 0:36,42104,NULL,NULL,NULL,NULL,NULL," 42104,1,48,68,22/6/2018 0:36:49",NULL,NULL,7/2/2018 17:08
15201,1,NULL,97,NG (OUT),RSSD,48,6/22/2018 0:38,42105,NULL,NULL,NULL,NULL,NULL," 42105,1,48,97,22/6/2018 0:38:49",NULL,NULL,7/2/2018 17:08
15202,1,NULL,56,NG (OUT),RSSD,48,6/22/2018 0:40,42106,NULL,NULL,NULL,NULL,NULL," 42106,1,48,56,22/6/2018 0:40:49",NULL,NULL,7/2/2018 17:08
15203,1,NULL,76,NG (OUT),RSSD,48,6/22/2018 0:42,42107,NULL,NULL,NULL,NULL,NULL," 42107,1,48,76,22/6/2018 0:42:49",NULL,NULL,7/2/2018 17:08
15204,1,NULL,77,NG (OUT),RSSD,48,6/22/2018 0:44,42108,NULL,NULL,NULL,NULL,NULL," 42108,1,48,77,22/6/2018 0:44:49",NULL,NULL,7/2/2018 17:08
15205,1,NULL,59,NG (OUT),RSSD,48,6/22/2018 0:46,42109,NULL,NULL,NULL,NULL,NULL," 42109,1,48,59,22/6/2018 0:46:49",NULL,NULL,7/2/2018 17:08
15206,1,NULL,63,NG (OUT),RSSD,48,6/22/2018 0:48,42110,NULL,NULL,NULL,NULL,NULL," 42110,1,48,63,22/6/2018 0:48:49",NULL,NULL,7/2/2018 17:08
15207,1,NULL,68,NG (OUT),RSSD,48,6/22/2018 0:50,42111,NULL,NULL,NULL,NULL,NULL," 42111,1,48,68,22/6/2018 0:50:49",NULL,NULL,7/2/2018 17:08
15208,1,NULL,49,NG (OUT),RSSD,48,6/22/2018 0:52,42112,NULL,NULL,NULL,NULL,NULL," 42112,1,48,49,22/6/2018 0:52:49",NULL,NULL,7/2/2018 17:08
15209,1,NULL,48,NG (OUT),RSSD,48,6/22/2018 0:54,42113,NULL,NULL,NULL,NULL,NULL," 42113,1,48,48,22/6/2018 0:54:49",NULL,NULL,7/2/2018 17:08
15210,1,NULL,88,NG (OUT),RSSD,48,6/22/2018 0:56,42114,NULL,NULL,NULL,NULL,NULL," 42114,1,48,88,22/6/2018 0:56:49",NULL,NULL,7/2/2018 17:08
15211,1,NULL,89,NG (OUT),RSSD,48,6/22/2018 0:58,42115,NULL,NULL,NULL,NULL,NULL," 42115,1,48,89,22/6/2018 0:58:49",NULL,NULL,7/2/2018 17:08
15212,1,NULL,97,NG (OUT),RSSD,48,6/22/2018 1:00,42116,NULL,NULL,NULL,NULL,NULL," 42116,1,48,97,22/6/2018 1:0:49",NULL,NULL,7/2/2018 17:08
15213,1,NULL,79,NG (OUT),RSSD,48,6/22/2018 1:02,42117,NULL,NULL,NULL,NULL,NULL," 42117,1,48,79,22/6/2018 1:2:49",NULL,NULL,7/2/2018 17:08
15214,1,NULL,81,NG (OUT),RSSD,48,6/22/2018 1:04,42118,NULL,NULL,NULL,NULL,NULL," 42118,1,48,81,22/6/2018 1:4:49",NULL,NULL,7/2/2018 17:08
15215,1,NULL,104,NG (OUT),RSSD,48,6/22/2018 1:06,42119,NULL,NULL,NULL,NULL,NULL," 42119,1,48,104,22/6/2018 1:6:49",NULL,NULL,7/2/2018 17:08
15216,1,NULL,115,NG (OUT),RSSD,48,6/22/2018 1:08,42120,NULL,NULL,NULL,NULL,NULL," 42120,1,48,115,22/6/2018 1:8:49",NULL,NULL,7/2/2018 17:08
15217,1,NULL,88,NG (OUT),RSSD,48,6/22/2018 1:10,42121,NULL,NULL,NULL,NULL,NULL," 42121,1,48,88,22/6/2018 1:10:49",NULL,NULL,7/2/2018 17:08
15218,1,NULL,68,NG (OUT),RSSD,48,6/22/2018 1:12,42122,NULL,NULL,NULL,NULL,NULL," 42122,1,48,68,22/6/2018 1:12:49",NULL,NULL,7/2/2018 17:08
15219,1,NULL,98,NG (OUT),RSSD,48,6/22/2018 1:14,42123,NULL,NULL,NULL,NULL,NULL," 42123,1,48,98,22/6/2018 1:14:49",NULL,NULL,7/2/2018 17:08
15220,1,NULL,91,NG (OUT),RSSD,48,6/22/2018 1:16,42124,NULL,NULL,NULL,NULL,NULL," 42124,1,48,91,22/6/2018 1:16:49",NULL,NULL,7/2/2018 17:08
15221,1,NULL,85,NG (OUT),RSSD,48,6/22/2018 1:18,42125,NULL,NULL,NULL,NULL,NULL," 42125,1,48,85,22/6/2018 1:18:49",NULL,NULL,7/2/2018 17:08
15222,1,NULL,87,NG (OUT),RSSD,48,6/22/2018 1:20,42126,NULL,NULL,NULL,NULL,NULL," 42126,1,48,87,22/6/2018 1:20:49",NULL,NULL,7/2/2018 17:08
15223,1,NULL,88,NG (OUT),RSSD,48,6/22/2018 1:22,42127,NULL,NULL,NULL,NULL,NULL," 42127,1,48,88,22/6/2018 1:22:49",NULL,NULL,7/2/2018 17:08
15224,1,NULL,64,NG (OUT),RSSD,48,6/22/2018 1:24,42128,NULL,NULL,NULL,NULL,NULL," 42128,1,48,64,22/6/2018 1:24:49",NULL,NULL,7/2/2018 17:08
15225,1,NULL,91,NG (OUT),RSSD,48,6/22/2018 1:26,42129,NULL,NULL,NULL,NULL,NULL," 42129,1,48,91,22/6/2018 1:26:49",NULL,NULL,7/2/2018 17:08
15226,1,NULL,75,NG (OUT),RSSD,48,6/22/2018 1:28,42130,NULL,NULL,NULL,NULL,NULL," 42130,1,48,75,22/6/2018 1:28:49",NULL,NULL,7/2/2018 17:08
15227,1,NULL,91,NG (OUT),RSSD,48,6/22/2018 1:30,42131,NULL,NULL,NULL,NULL,NULL," 42131,1,48,91,22/6/2018 1:30:49",NULL,NULL,7/2/2018 17:08
15228,1,NULL,83,NG (OUT),RSSD,48,6/22/2018 1:32,42132,NULL,NULL,NULL,NULL,NULL," 42132,1,48,83,22/6/2018 1:32:49",NULL,NULL,7/2/2018 17:08
15229,1,NULL,71,NG (OUT),RSSD,48,6/22/2018 1:34,42133,NULL,NULL,NULL,NULL,NULL," 42133,1,48,71,22/6/2018 1:34:49",NULL,NULL,7/2/2018 17:08
15230,1,NULL,72,NG (OUT),RSSD,48,6/22/2018 1:36,42134,NULL,NULL,NULL,NULL,NULL," 42134,1,48,72,22/6/2018 1:36:49",NULL,NULL,7/2/2018 17:08
15231,1,NULL,114,NG (OUT),RSSD,48,6/22/2018 1:38,42135,NULL,NULL,NULL,NULL,NULL," 42135,1,48,114,22/6/2018 1:38:49",NULL,NULL,7/2/2018 17:08
15232,1,NULL,75,NG (OUT),RSSD,48,6/22/2018 1:40,42136,NULL,NULL,NULL,NULL,NULL," 42136,1,48,75,22/6/2018 1:40:49",NULL,NULL,7/2/2018 17:08
15233,1,NULL,70,NG (OUT),RSSD,48,6/22/2018 1:42,42137,NULL,NULL,NULL,NULL,NULL," 42137,1,48,70,22/6/2018 1:42:49",NULL,NULL,7/2/2018 17:08
15234,1,NULL,109,NG (OUT),RSSD,48,6/22/2018 1:44,42138,NULL,NULL,NULL,NULL,NULL," 42138,1,48,109,22/6/2018 1:44:49",NULL,NULL,7/2/2018 17:08
15235,1,NULL,109,NG (OUT),RSSD,48,6/22/2018 1:46,42139,NULL,NULL,NULL,NULL,NULL," 42139,1,48,109,22/6/2018 1:46:49",NULL,NULL,7/2/2018 17:08
15236,1,NULL,69,NG (OUT),RSSD,48,6/22/2018 1:48,42140,NULL,NULL,NULL,NULL,NULL," 42140,1,48,69,22/6/2018 1:48:49",NULL,NULL,7/2/2018 17:08
15237,1,NULL,55,NG (OUT),RSSD,48,6/22/2018 1:50,42141,NULL,NULL,NULL,NULL,NULL," 42141,1,48,55,22/6/2018 1:50:49",NULL,NULL,7/2/2018 17:08
15238,1,NULL,53,NG (OUT),RSSD,48,6/22/2018 1:52,42142,NULL,NULL,NULL,NULL,NULL," 42142,1,48,53,22/6/2018 1:52:49",NULL,NULL,7/2/2018 17:08
15239,1,NULL,43,NG (OUT),RSSD,48,6/22/2018 1:54,42143,NULL,NULL,NULL,NULL,NULL," 42143,1,48,43,22/6/2018 1:54:49",NULL,NULL,7/2/2018 17:08
15240,1,NULL,92,NG (OUT),RSSD,48,6/22/2018 1:56,42144,NULL,NULL,NULL,NULL,NULL," 42144,1,48,92,22/6/2018 1:56:49",NULL,NULL,7/2/2018 17:08
15241,1,NULL,89,NG (OUT),RSSD,48,6/22/2018 1:58,42145,NULL,NULL,NULL,NULL,NULL," 42145,1,48,89,22/6/2018 1:58:49",NULL,NULL,7/2/2018 17:08
15242,1,NULL,87,NG (OUT),RSSD,48,6/22/2018 2:00,42146,NULL,NULL,NULL,NULL,NULL," 42146,1,48,87,22/6/2018 2:0:49",NULL,NULL,7/2/2018 17:08
15243,1,NULL,59,NG (OUT),RSSD,48,6/22/2018 2:02,42147,NULL,NULL,NULL,NULL,NULL," 42147,1,48,59,22/6/2018 2:2:49",NULL,NULL,7/2/2018 17:08
15244,1,NULL,71,NG (OUT),RSSD,48,6/22/2018 2:04,42148,NULL,NULL,NULL,NULL,NULL," 42148,1,48,71,22/6/2018 2:4:49",NULL,NULL,7/2/2018 17:08
15245,1,NULL,112,NG (OUT),RSSD,48,6/22/2018 2:06,42149,NULL,NULL,NULL,NULL,NULL," 42149,1,48,112,22/6/2018 2:6:49",NULL,NULL,7/2/2018 17:08
15246,1,NULL,62,NG (OUT),RSSD,48,6/22/2018 2:08,42150,NULL,NULL,NULL,NULL,NULL," 42150,1,48,62,22/6/2018 2:8:49",NULL,NULL,7/2/2018 17:08
15247,1,NULL,78,NG (OUT),RSSD,48,6/22/2018 2:10,42151,NULL,NULL,NULL,NULL,NULL," 42151,1,48,78,22/6/2018 2:10:49",NULL,NULL,7/2/2018 17:08
15248,1,NULL,66,NG (OUT),RSSD,48,6/22/2018 2:12,42152,NULL,NULL,NULL,NULL,NULL," 42152,1,48,66,22/6/2018 2:12:49",NULL,NULL,7/2/2018 17:08
