"SERNO","RadmonID","MACID","RadiationLevel","Location","Department","RadiationStatus","DateTime","RecordNo","RadmonType","Temperature","BatteryVoltage","BatteryCurrent","Health","DataString","RadiationCPM","Dummy","Mdate"
"268931","26",NULL,"65","Cirus","RSSD","48","2018-06-22 17:10:19","26766",NULL,NULL,NULL,NULL,NULL," 26766,26,48,65,22/6/2018 17:10:19",NULL,NULL,"2018-07-03 08:17:38"
"268932","26",NULL,"98","Cirus","RSSD","48","2018-06-22 17:12:19","26767",NULL,NULL,NULL,NULL,NULL," 26767,26,48,98,22/6/2018 17:12:19",NULL,NULL,"2018-07-03 08:17:38"
"268933","26",NULL,"74","Cirus","RSSD","48","2018-06-22 17:14:19","26768",NULL,NULL,NULL,NULL,NULL," 26768,26,48,74,22/6/2018 17:14:19",NULL,NULL,"2018-07-03 08:17:39"
"268934","26",NULL,"94","Cirus","RSSD","48","2018-06-22 17:16:19","26769",NULL,NULL,NULL,NULL,NULL," 26769,26,48,94,22/6/2018 17:16:19",NULL,NULL,"2018-07-03 08:17:39"
"268935","26",NULL,"71","Cirus","RSSD","48","2018-06-22 17:18:19","26770",NULL,NULL,NULL,NULL,NULL," 26770,26,48,71,22/6/2018 17:18:19",NULL,NULL,"2018-07-03 08:17:39"
"268936","26",NULL,"62","Cirus","RSSD","48","2018-06-22 17:20:19","26771",NULL,NULL,NULL,NULL,NULL," 26771,26,48,62,22/6/2018 17:20:19",NULL,NULL,"2018-07-03 08:17:39"
"268937","26",NULL,"100","Cirus","RSSD","48","2018-06-22 17:22:19","26772",NULL,NULL,NULL,NULL,NULL," 26772,26,48,100,22/6/2018 17:22:19",NULL,NULL,"2018-07-03 08:17:40"
"268938","26",NULL,"57","Cirus","RSSD","48","2018-06-22 17:24:19","26773",NULL,NULL,NULL,NULL,NULL," 26773,26,48,57,22/6/2018 17:24:19",NULL,NULL,"2018-07-03 08:17:40"
"268939","26",NULL,"93","Cirus","RSSD","48","2018-06-22 17:26:19","26774",NULL,NULL,NULL,NULL,NULL," 26774,26,48,93,22/6/2018 17:26:19",NULL,NULL,"2018-07-03 08:17:40"
"268940","26",NULL,"64","Cirus","RSSD","48","2018-06-22 17:28:19","26775",NULL,NULL,NULL,NULL,NULL," 26775,26,48,64,22/6/2018 17:28:19",NULL,NULL,"2018-07-03 08:17:40"
"268941","26",NULL,"81","Cirus","RSSD","48","2018-06-22 17:30:19","26776",NULL,NULL,NULL,NULL,NULL," 26776,26,48,81,22/6/2018 17:30:19",NULL,NULL,"2018-07-03 08:17:41"
"268942","26",NULL,"66","Cirus","RSSD","48","2018-06-22 17:32:19","26777",NULL,NULL,NULL,NULL,NULL," 26777,26,48,66,22/6/2018 17:32:19",NULL,NULL,"2018-07-03 08:17:41"
"268943","26",NULL,"71","Cirus","RSSD","48","2018-06-22 17:34:19","26778",NULL,NULL,NULL,NULL,NULL," 26778,26,48,71,22/6/2018 17:34:19",NULL,NULL,"2018-07-03 08:17:41"
"268944","26",NULL,"111","Cirus","RSSD","48","2018-06-22 17:36:19","26779",NULL,NULL,NULL,NULL,NULL," 26779,26,48,111,22/6/2018 17:36:19",NULL,NULL,"2018-07-03 08:17:42"
"268945","26",NULL,"86","Cirus","RSSD","48","2018-06-22 17:38:19","26780",NULL,NULL,NULL,NULL,NULL," 26780,26,48,86,22/6/2018 17:38:19",NULL,NULL,"2018-07-03 08:17:42"
"268946","26",NULL,"56","Cirus","RSSD","48","2018-06-22 17:40:19","26781",NULL,NULL,NULL,NULL,NULL," 26781,26,48,56,22/6/2018 17:40:19",NULL,NULL,"2018-07-03 08:17:42"
"268947","26",NULL,"101","Cirus","RSSD","48","2018-06-22 17:42:19","26782",NULL,NULL,NULL,NULL,NULL," 26782,26,48,101,22/6/2018 17:42:19",NULL,NULL,"2018-07-03 08:17:42"
"268948","26",NULL,"93","Cirus","RSSD","48","2018-06-22 17:44:19","26783",NULL,NULL,NULL,NULL,NULL," 26783,26,48,93,22/6/2018 17:44:19",NULL,NULL,"2018-07-03 08:17:43"
